Date,Open,High,Low,Close,Volume,Market Cap
"Sep 04, 2016",598.59,611.84,596.85,608.63,97942900,9486370000
"Sep 03, 2016",575.55,599.5,574.06,598.21,159014000,9120440000
"Sep 02, 2016",572.41,575.64,570.81,575.54,79910800,9069550000
"Sep 01, 2016",575.55,576.31,571.81,572.3,76923400,9118280000
"Aug 31, 2016",577.59,577.86,573.64,575.47,75840900,9149730000
"Aug 30, 2016",574.11,578.36,574.11,577.5,70342400,9093530000
"Aug 29, 2016",574.07,576.28,573.47,574.11,110398000,9091830000
"Aug 28, 2016",569.83,574.04,569.74,573.91,86301600,9023610000
"Aug 27, 2016",579.45,579.85,568.63,569.95,59698300,9174990000
"Aug 26, 2016",577.75,580.62,576.86,579.65,48856800,9147170000
"Aug 25, 2016",580.18,580.45,575.17,577.76,136130000,9184700000
"Aug 24, 2016",583.41,583.59,579.86,580.18,56328200,9234800000
"Aug 23, 2016",586.77,589.47,581.63,583.41,85349200,9286930000
"Aug 22, 2016",581.31,588.45,580.59,586.75,72844000,9199410000
"Aug 21, 2016",581.94,584.16,580.22,581.31,38299400,9208210000
"Aug 20, 2016",576.08,582.82,575.46,581.7,45301400,9114500000
"Aug 19, 2016",574.34,578.24,574.18,575.63,50631600,9085820000
"Aug 18, 2016",573.71,577.79,573.43,574.32,59896600,9074760000
"Aug 17, 2016",577.76,580.89,571.43,573.22,54443000,9138030000
"Aug 16, 2016",567.24,581.74,566.72,577.44,58405200,8970770000
"Aug 15, 2016",570.49,573.58,563.24,567.24,57262300,9021180000
"Aug 14, 2016",585.59,585.67,564.78,570.47,60851100,9258730000
"Aug 13, 2016",587.36,589.77,584.98,585.59,43563000,9285530000
"Aug 12, 2016",588.8,589.91,583.81,587.56,69218000,9307250000
"Aug 11, 2016",592.12,597.54,589.12,589.12,74514400,9358770000
"Aug 10, 2016",587.65,599.98,586.37,592.1,102905000,9286960000
"Aug 09, 2016",591.04,591.09,584.79,587.8,92228100,9339660000
"Aug 08, 2016",592.74,592.99,588.05,591.05,61194100,9365440000
"Aug 07, 2016",587.77,597.51,586.82,592.69,82398400,9285940000
"Aug 06, 2016",575.03,588.4,569.47,587.78,80797300,9083510000
"Aug 05, 2016",578.28,578.28,569.98,575.04,66127900,9133690000
"Aug 04, 2016",566.33,579.5,565.78,578.29,125292000,8943870000
"Aug 03, 2016",548.66,573.36,541.55,566.36,207982000,8663670000
"Aug 02, 2016",606.4,612.85,531.33,547.47,330933000,9574320000
"Aug 01, 2016",624.6,626.12,605.88,606.27,121887000,9860620000
"Jul 31, 2016",655.1,655.28,624.37,624.68,110818000,10340900000
"Jul 30, 2016",657.01,658.22,654.21,655.05,38456100,10370100000
"Jul 29, 2016",655.11,657.8,654.79,656.99,60703500,10338900000
"Jul 28, 2016",654.49,657.6,654.49,655.03,86428400,10328100000
"Jul 27, 2016",651.63,657.46,648.45,654.35,147461000,10281900000
"Jul 26, 2016",654.23,656.23,645.88,651.78,225135000,10321900000
"Jul 25, 2016",661.26,661.83,653.39,654.1,78176500,10431900000
"Jul 24, 2016",655.41,663.11,652.79,661.28,118184000,10338600000
"Jul 23, 2016",650.73,656.37,648.52,655.56,69532200,10263700000
"Jul 22, 2016",664.92,666.58,646.72,650.62,134169000,10486600000
"Jul 21, 2016",665.23,666.22,660.41,665.01,60491800,10490300000
"Jul 20, 2016",672.81,672.93,663.36,665.68,94636400,10608600000
"Jul 19, 2016",672.74,673.28,667.63,672.86,61203300,10606500000
"Jul 18, 2016",679.81,681.55,668.63,673.11,69465000,10716800000
"Jul 17, 2016",661.99,682.37,661.99,679.46,74407900,10434700000
"Jul 16, 2016",663.78,666.46,659.33,660.77,50330200,10461700000
"Jul 15, 2016",659.17,667.08,659.04,663.25,81673100,10387900000
"Jul 14, 2016",652.92,662.9,652.92,658.08,98511400,10288400000
"Jul 13, 2016",664.8,668.7,654.47,654.47,131449000,10474500000
"Jul 12, 2016",648.28,675.26,646.78,664.55,138173000,10213100000
"Jul 11, 2016",648.48,659.63,644.98,647.66,107910000,10215200000
"Jul 10, 2016",650.6,652.29,641.26,649.36,102532000,10247300000
"Jul 09, 2016",666.38,666.38,633.4,650.96,180536000,10493800000
"Jul 08, 2016",640.69,666.71,636.47,666.52,141970000,10086900000
"Jul 07, 2016",678.09,682.43,611.83,640.56,258091000,10673400000
"Jul 06, 2016",670.42,681.9,670.42,677.33,134961000,10550300000
"Jul 05, 2016",683.21,683.49,665.07,670.63,130476000,10749100000
"Jul 04, 2016",658.8,683.66,650.51,683.66,92008400,10362700000
"Jul 03, 2016",704.97,704.97,649.01,658.66,129512000,11086100000
"Jul 02, 2016",676.73,703.7,676.4,703.7,112354000,10639600000
"Jul 01, 2016",672.51,686.15,669.59,676.3,134431000,10570600000
"Jun 30, 2016",640.59,675.4,636.61,673.34,138980000,10066400000
"Jun 29, 2016",644.12,644.68,628.28,639.89,142456000,10119600000
"Jun 28, 2016",658.1,659.25,637.77,647,138385000,10336800000
"Jun 27, 2016",629.35,655.27,620.52,655.27,122134000,9882840000
"Jun 26, 2016",665.93,665.98,616.93,629.37,109225000,10454900000
"Jun 25, 2016",665.28,691.73,646.56,665.12,126656000,10442000000
"Jun 24, 2016",625.58,681.73,625.27,665.3,224317000,9816730000
"Jun 23, 2016",597.44,629.33,558.14,623.98,253462000,9373190000
"Jun 22, 2016",665.91,678.67,587.48,596.12,266393000,10445300000
"Jun 21, 2016",735.88,735.88,639.07,666.65,309944000,11540000000
"Jun 20, 2016",763.93,764.08,732.73,737.23,174511000,11976700000
"Jun 19, 2016",756.69,766.62,745.63,763.78,136185000,11859800000
"Jun 18, 2016",748.76,777.99,733.93,756.23,252718000,11732600000
"Jun 17, 2016",768.49,775.36,716.56,748.91,363321000,12038900000
"Jun 16, 2016",696.52,773.72,696.52,766.31,271634000,10908900000
"Jun 15, 2016",685.68,696.3,672.56,694.47,99223800,10736600000
"Jun 14, 2016",704.5,704.5,662.8,685.56,186694000,11028900000
"Jun 13, 2016",671.65,716,664.49,704.38,243295000,10511900000
"Jun 12, 2016",609.68,684.84,607.04,672.78,277085000,9539850000
"Jun 11, 2016",578.67,607.12,578.67,606.73,82357000,9052360000
"Jun 10, 2016",575.84,579.13,573.33,577.47,66991900,9005920000
"Jun 09, 2016",582.2,582.2,570.95,574.63,71301000,9103080000
"Jun 08, 2016",577.17,582.84,573.13,581.64,80265800,9022250000
"Jun 07, 2016",585.45,590.26,567.51,576.6,107770000,9149580000
"Jun 06, 2016",574.6,586.47,574.6,585.54,72138900,8977700000
"Jun 05, 2016",573.31,582.81,569.18,574.98,68874100,8955060000
"Jun 04, 2016",569.71,590.13,564.24,572.73,94925300,8897080000
"Jun 03, 2016",537.68,574.64,536.92,569.19,122020000,8395070000
"Jun 02, 2016",536.51,540.35,533.08,537.97,60378200,8375000000
"Jun 01, 2016",531.11,543.08,525.64,536.92,86061800,8288680000
"May 31, 2016",534.19,546.62,520.66,531.39,138450000,8335100000
"May 30, 2016",528.47,544.35,522.96,533.86,87958700,8243960000
"May 29, 2016",527.48,553.96,512.18,526.23,148737000,8226500000
"May 28, 2016",473.03,533.47,472.7,530.04,181199000,7375780000
"May 27, 2016",453.52,478.15,453.52,473.46,164781000,7070010000
"May 26, 2016",449.67,453.64,447.9,453.38,65203800,7008500000
"May 25, 2016",446.06,450.3,446.06,449.6,65231000,6950690000
"May 24, 2016",444.29,447.1,443.93,445.98,65783100,6921460000
"May 23, 2016",439.35,444.35,438.82,444.15,50582500,6842470000
"May 22, 2016",443.22,443.43,439.04,439.32,39657600,6900700000
"May 21, 2016",442.97,443.78,441.71,443.19,42762300,6895230000
"May 20, 2016",437.79,444.05,437.39,442.68,81987900,6813080000
"May 19, 2016",454.52,454.63,438.71,438.71,96027400,7072090000
"May 18, 2016",453.69,456,453.3,454.62,86850100,7057390000
"May 17, 2016",454.01,455.07,453.61,453.78,64100300,7060730000
"May 16, 2016",457.59,458.2,452.94,454.16,59171500,7114740000
"May 15, 2016",455.76,458.69,455.46,457.57,28514000,7084760000
"May 14, 2016",455.82,456.84,454.79,455.67,37209000,7084100000
"May 13, 2016",454.85,457.06,453.45,455.67,60845000,7067270000
"May 12, 2016",452.45,454.95,449.25,454.77,59849300,7028330000
"May 11, 2016",450.86,454.58,450.86,452.73,50605200,7002230000
